obs_id,season,day_of_week,operational_state,temperatura_c,ph,caudal_m3h,dbo5_mgl,dqo_mgl,dqo_dbo_ratio,nh4_mgl,od_mgl,adh_ugTTF_gVSS_h,toxicity_pct,adh_pct,od_pct,nh4_pct,bhi,bhi_label,decreto_674_dbo_compliant,decreto_674_nh4_compliant
2630,autumn,Fri,healthy,19.03,7.222,17.49,33.96,59.77,1.76,10.3,8.891,2.7562,5.42,61.25,96.64,4.9,86.89,healthy,1,1
2631,winter,Sat,stressed,15.29,6.968,29.95,109.17,188.88,1.73,38.71,3.662,0.8556,25.02,19.01,39.81,18.43,53.84,stressed,0,0
2632,spring,Sun,healthy,22.24,7.02,12.62,10.39,19.12,1.84,6.73,4.794,1.3913,7.47,30.92,52.11,3.2,68.09,stressed,1,1
2633,summer,Mon,healthy,29.25,7.354,15.96,47.71,72.22,1.514,6.09,7.582,1.9944,9.24,44.32,82.42,2.9,78.65,healthy,1,1
2634,autumn,Tue,stressed,17.79,6.789,29.28,45,97.5,2.167,77.93,1.624,0.4204,29.32,9.34,17.65,37.11,40.14,critical,1,0
2635,winter,Wed,stressed,9.34,6.3,27.61,91.15,158.94,1.744,85.02,0.499,0.122,38.7,2.71,5.42,40.49,32.24,critical,0,0
2636,spring,Thu,healthy,19.33,7.266,19.15,32.99,47.12,1.428,8.22,5.939,2.0817,18.32,46.26,64.55,3.91,72.14,stressed,1,1
2637,summer,Fri,stressed,32.11,6.739,27.38,74.67,142.79,1.912,43.61,1.94,0.7519,36.17,16.71,21.09,20.77,45.21,critical,0,0
2638,autumn,Sat,healthy,21.17,7.131,6.51,21.01,32.31,1.538,1.88,7.646,2.5159,13.64,55.91,83.11,0.9,81.12,healthy,1,1
2639,winter,Sun,healthy,12.33,7.086,6,10,19.58,1.958,6.11,7.371,1.3779,16.5,30.62,80.12,2.91,72.83,stressed,1,1
2640,spring,Mon,stressed,20.68,6.459,36.35,75.43,151.51,2.009,82.0,1.727,0.6528,37.01,14.51,18.77,39.05,39.31,critical,0,0
2641,summer,Tue,healthy,30.77,7.363,23.01,39.99,73.82,1.846,5.31,6.954,2.5452,7.84,56.56,75.59,2.53,80.45,healthy,1,1
2642,autumn,Wed,healthy,19.28,7.241,16.51,38.69,63.12,1.631,9.52,6.642,1.8848,7.88,41.88,72.2,4.53,75.42,healthy,1,1
2643,winter,Thu,healthy,11.06,7.125,25.09,48.28,74.39,1.541,4.44,5.857,1.4667,5.98,32.59,63.66,2.12,72.04,stressed,1,1
2644,spring,Fri,stressed,20.76,6.927,15.3,100.25,188.98,1.885,26.98,2.973,0.3872,31.1,8.61,32.32,12.85,49.24,critical,0,1
2645,summer,Sat,healthy,28.56,7.143,19.76,14.22,24.3,1.709,6.96,6.593,2.2707,12.22,50.46,71.67,3.31,76.65,healthy,1,1
2646,autumn,Sun,healthy,16.94,7.304,6.2,10,17.47,1.747,5.36,8.966,1.6545,7.62,36.77,97.46,2.55,81.01,healthy,1,1
2647,winter,Mon,stressed,13.41,6.624,31.36,185.94,345.12,1.856,74.76,0.05,0.4519,51.36,10.04,0.54,35.6,30.91,critical,0,0
2648,spring,Tue,healthy,17.32,7.086,19.53,22.34,33.74,1.51,13.61,6.74,1.7475,15.89,38.83,73.26,6.48,72.43,stressed,1,1
2649,summer,Wed,critical,28.92,6.551,66.12,311.44,844.08,2.71,68.62,0.05,0.0695,81.93,1.54,0.54,32.68,21.87,critical,0,0
2650,autumn,Thu,healthy,18.22,7.36,21.36,23.33,38.2,1.638,11.82,6.356,1.6532,13.91,36.74,69.09,5.63,71.57,stressed,1,1
2651,winter,Fri,stressed,12.99,6.633,38.0,119.53,240.3,2.01,55.04,2.273,0.2859,50.29,6.35,24.71,26.21,38.64,critical,0,0
2652,spring,Sat,healthy,23.52,7.364,6,30.94,47.22,1.526,4.38,6.656,2.1281,4.88,47.29,72.35,2.09,78.17,healthy,1,1
2653,summer,Sun,stressed,26.1,6.957,14,45,97.15,2.159,20,3.463,0.6667,44.62,14.81,37.65,9.52,49.58,critical,1,1
2654,autumn,Mon,critical,17.81,6.385,47.1,288.23,606.81,2.105,140.37,0.05,0.0628,66.77,1.4,0.54,66.84,17.08,critical,0,0
2655,winter,Tue,stressed,12.4,7.34,55.18,132.23,274.74,2.078,78.53,2.439,0.6047,60.57,13.44,26.51,37.39,35.49,critical,0,0
2656,spring,Wed,healthy,22.54,6.766,22.18,45.82,63.81,1.393,4.69,7.925,1.4528,1,32.28,86.14,2.23,78.8,healthy,1,1
2657,summer,Thu,healthy,25.01,7.031,14.34,23.51,42.34,1.801,7.94,6.661,1.3043,7.48,28.98,72.4,3.78,72.53,stressed,1,1
2658,autumn,Fri,healthy,20.59,7.245,14.56,48.35,82.7,1.71,11.3,7.54,2.552,8.88,56.71,81.96,5.38,81.1,healthy,1,1
2659,winter,Sat,critical,12.05,5.707,26.58,239.56,572.33,2.389,109.79,0.05,0.0232,56.47,0.52,0.54,52.28,23.08,critical,0,0
2660,spring,Sun,healthy,24.92,7.166,9.75,40.78,71.07,1.742,1,8.141,2.6948,3.37,59.89,88.49,0.48,86.13,healthy,1,1
2661,summer,Mon,healthy,27.95,6.945,10.65,38.62,57.37,1.486,8.48,6.218,2.4449,7.62,54.33,67.58,4.04,77.56,healthy,1,1
2662,autumn,Tue,healthy,21.13,7.279,26.53,46.55,75.16,1.614,2.1,8.706,2.0912,7.57,46.47,94.63,1.0,83.13,healthy,1,1
2663,winter,Wed,stressed,14.69,6.522,36.78,126.63,270.04,2.132,91.17,2.479,0.5383,20.86,11.96,26.94,43.41,43.66,critical,0,0
2664,spring,Thu,stressed,26.74,6.339,40.14,116.37,221.57,1.904,67.56,1.438,0.5245,29.34,11.66,15.63,32.17,41.44,critical,0,0
2665,summer,Fri,critical,32.01,5.751,43.79,395.45,1122.29,2.838,166.33,0.05,0.0948,79.39,2.11,0.54,79.21,11.01,critical,0,0
2666,autumn,Sat,healthy,18.47,7.079,14.63,27.66,44.68,1.615,7.54,7.421,2.4316,4.69,54.03,80.67,3.59,81.61,healthy,1,1
2667,winter,Sun,stressed,15.06,6.373,14,45,87.24,1.939,36.59,2.297,0.4996,42.81,11.1,24.97,17.42,43.96,critical,1,0
2668,spring,Mon,healthy,17.97,7.029,14.74,22.16,34.64,1.563,13.99,6.722,1.6067,8.51,35.7,73.06,6.66,73.4,stressed,1,1
2669,summer,Tue,healthy,25.9,7.16,17.89,31.68,53.11,1.676,2.52,6.242,1.9729,10.47,43.84,67.85,1.2,75.0,healthy,1,1
2670,autumn,Wed,healthy,21.79,7.291,22.33,32.74,48.23,1.473,9.36,5.509,1.5441,13.16,34.31,59.88,4.46,69.14,stressed,1,1
2671,winter,Thu,healthy,13.14,7.274,20.37,41.7,67.03,1.608,14.77,6.642,1.1861,7.33,26.36,72.2,7.03,71.05,stressed,1,1
2672,spring,Fri,critical,19.12,4.766,69.56,598.6,1181.3,1.973,154.93,0.05,0.0609,75.25,1.35,0.54,73.78,13.22,critical,0,0
2673,summer,Sat,healthy,25.03,7.088,19.2,50.72,89.39,1.763,7.2,6.649,1.8465,13.59,41.03,72.27,3.43,74.07,stressed,0,1
2674,autumn,Sun,healthy,19.14,7.116,6.64,10,16.18,1.618,5.7,6.057,1.2635,6.12,28.08,65.84,2.72,71.27,stressed,1,1
2675,winter,Mon,stressed,11.77,7.102,34.12,156.05,244.84,1.569,61.07,1.528,0.4373,27.03,9.72,16.61,29.08,42.56,critical,0,0
2676,spring,Tue,stressed,20.28,6.48,30.57,108.98,232.08,2.13,20,3.52,0.9067,23.19,20.15,38.26,9.52,56.43,stressed,0,1
2677,summer,Wed,healthy,26.53,7.065,18.09,35.87,59.63,1.663,4.07,6.106,1.3806,13.69,30.68,66.37,1.94,70.36,stressed,1,1
2678,autumn,Thu,critical,18.91,7.182,52.26,304.05,759.06,2.496,129.03,0.05,0.0927,65.32,2.06,0.54,61.44,18.96,critical,0,0
2679,winter,Fri,stressed,9.2,6.586,25.76,123.39,263.34,2.134,33.41,2.997,0.5489,23.85,12.2,32.57,15.91,51.25,stressed,0,1
2680,spring,Sat,healthy,21.87,7.036,9.92,28.7,49.02,1.708,6.25,6.734,2.4936,9.77,55.41,73.2,2.98,78.97,healthy,1,1
2681,summer,Sun,critical,30.67,6.364,20,193.98,412.66,2.127,65,0.05,0.1199,75.45,2.67,0.54,30.95,24.2,critical,0,0
2682,autumn,Mon,stressed,18.61,6.606,33.18,92.5,167.56,1.812,55.45,1.394,0.3371,49.18,7.49,15.16,26.41,36.77,critical,0,0
2683,winter,Tue,healthy,12.84,7.278,18.79,23.08,38.36,1.662,4.91,7.002,1.4313,11.07,31.81,76.11,2.34,73.63,stressed,1,1
2684,spring,Wed,critical,26.63,5.021,43.54,469.44,1242.95,2.648,161.25,0.05,0.0459,64.99,1.02,0.54,76.79,14.95,critical,0,0
2685,summer,Thu,healthy,26.15,7.418,16.3,40.35,78.96,1.957,5.65,4.255,1.4895,8.5,33.1,46.25,2.69,67.04,stressed,1,1
2686,autumn,Fri,critical,21.87,6.701,54.26,285.83,689.07,2.411,173.37,0.05,0.1176,67.26,2.61,0.54,82.56,13.33,critical,0,0
2687,winter,Sat,healthy,10.72,6.964,6,24.0,40.75,1.698,4.16,6.965,1.1482,2.19,25.52,75.7,1.98,74.26,stressed,1,1
2688,spring,Sun,healthy,22.95,7.087,6,49.96,83.41,1.67,1,5.182,1.4141,10.21,31.42,56.33,0.48,69.27,stressed,1,1
2689,summer,Mon,healthy,29.99,7.439,21.69,36.23,64.6,1.783,7.34,6.089,1.3211,18.83,29.36,66.18,3.49,68.3,stressed,1,1
2690,autumn,Tue,critical,19.42,5.934,74.64,413.25,942.76,2.281,127.44,0.05,0.1147,45.25,2.55,0.54,60.68,24.29,critical,0,0
2691,winter,Wed,stressed,12.45,6.197,38.85,174.32,390.09,2.238,84.18,0.557,0.3932,18.67,8.74,6.06,40.09,39.01,critical,0,0
2692,spring,Thu,healthy,25.78,7.27,21.35,17.78,32.14,1.808,7.86,8.548,2.302,11.29,51.16,92.91,3.75,82.26,healthy,1,1
2693,summer,Fri,healthy,29.07,7.032,8.93,39.96,55.46,1.388,6.31,5.263,1.1965,4.15,26.59,57.21,3.0,69.16,stressed,1,1
2694,autumn,Sat,stressed,20.5,6.901,21.12,143.8,278.82,1.939,57.8,1.052,0.2605,46.58,5.79,11.43,27.53,35.78,critical,0,0
2695,winter,Sun,stressed,12.22,7.002,18.97,47.09,78.99,1.678,40.38,2.118,0.6061,25.15,13.47,23.02,19.23,48.03,critical,1,0
2696,spring,Mon,stressed,23.84,6.924,34.92,55.52,121.08,2.181,26.06,2.079,0.8547,31.11,18.99,22.6,12.41,49.52,critical,0,1
2697,summer,Tue,healthy,25.9,7.1,16.07,37.68,55.1,1.462,7.79,6.483,2.4732,8.26,54.96,70.47,3.71,78.37,healthy,1,1
2698,autumn,Wed,stressed,19.03,7.018,33.75,181.76,358.56,1.973,37.97,2.142,0.6165,45.74,13.7,23.28,18.08,43.29,critical,0,0
2699,winter,Thu,stressed,16.43,6.36,42.18,169.17,307.17,1.816,58.6,0.459,0.383,15,8.51,4.99,27.9,42.65,critical,0,0
2700,spring,Fri,stressed,17.2,6.301,43.99,184.64,298.12,1.615,68.41,1.733,0.4062,40.39,9.03,18.84,32.58,38.72,critical,0,0
2701,summer,Sat,stressed,29.04,6.052,24.17,45,97.49,2.166,68.91,2.11,0.7206,23.34,16.01,22.93,32.81,45.7,critical,1,0
2702,autumn,Sun,healthy,21.93,7.222,6,10,18.44,1.844,4.18,6.416,1.974,4.83,43.87,69.73,1.99,76.7,healthy,1,1
2703,winter,Mon,healthy,13.38,7.125,18.89,25.51,37.2,1.458,11.16,5.949,1.2735,8.03,28.3,64.67,5.31,69.91,stressed,1,1
2704,spring,Tue,healthy,24.22,7.082,14.06,63.04,110.84,1.758,4.69,6.682,2.26,3.14,50.22,72.63,2.23,79.37,healthy,0,1
2705,summer,Wed,stressed,30.13,7.598,33.57,101.54,196.82,1.938,69.24,1.844,0.8304,26.21,18.45,20.04,32.97,44.83,critical,0,0
2706,autumn,Thu,healthy,20.77,7.214,27.64,57.74,85.92,1.488,8.58,7.815,2.2393,3.47,49.76,84.95,4.08,81.79,healthy,0,1
2707,winter,Fri,healthy,13.15,7.166,21.24,32.65,52.97,1.622,9.81,5.663,1.0282,4.52,22.85,61.56,4.67,68.8,stressed,1,1
2708,spring,Sat,critical,23.97,6.245,35.95,347.45,672.83,1.936,103.75,0.05,0.0621,98,1.38,0.54,49.4,13.63,critical,0,0
2709,summer,Sun,healthy,30.31,7.115,7.28,21.31,36.13,1.696,3.52,8.071,2.3353,13.87,51.9,87.73,1.67,81.02,healthy,1,1
2710,autumn,Mon,stressed,18.26,6.617,38.58,190.68,355.13,1.862,73.79,1.166,0.442,31.54,9.82,12.68,35.14,38.95,critical,0,0
2711,winter,Tue,healthy,14.04,7.195,23.78,24.51,45.2,1.844,8.25,6.847,0.9644,14.52,21.43,74.43,3.93,69.35,stressed,1,1
2712,spring,Wed,critical,24.13,6.031,42.57,396.44,961.64,2.426,102.81,0.05,0.0927,62.17,2.06,0.54,48.96,22.87,critical,0,0
2713,summer,Thu,healthy,31.4,7.309,18.61,37.9,73.21,1.932,10.99,4.892,1.025,4.79,22.78,53.18,5.23,66.48,stressed,1,1
2714,autumn,Fri,critical,25.21,5.943,49.78,296.16,705.85,2.383,103.45,0.05,0.125,41.5,2.78,0.54,49.26,28.14,critical,0,0
2715,winter,Sat,healthy,9.68,7.014,15.5,30.67,50.26,1.639,4.06,7.787,1.0323,1,22.94,84.64,1.93,76.16,healthy,1,1
2716,spring,Sun,stressed,16.99,6.809,21.68,45,87.67,1.948,20,1.544,0.5441,47.34,12.09,16.78,9.52,43.0,critical,1,1
2717,summer,Mon,healthy,29.78,7.194,25.41,30.62,47.37,1.547,7.07,4.318,1.1807,10.08,26.24,46.93,3.37,64.93,stressed,1,1
2718,autumn,Tue,healthy,20.4,7.259,16.76,37.03,54.88,1.482,16.7,5.453,1.7531,7.23,38.96,59.27,7.95,70.76,stressed,1,1
2719,winter,Wed,healthy,17.81,7.14,19.0,36.44,55.09,1.512,3.71,6.701,1.6291,10.35,36.2,72.84,1.77,74.23,stressed,1,1
2720,spring,Thu,healthy,20.85,7.137,16.6,35.15,62.32,1.773,7.47,7.438,2.3127,14.38,51.39,80.85,3.56,78.57,healthy,1,1
2721,summer,Fri,healthy,28.12,7.184,20.69,40.1,64.64,1.612,5.03,5.96,2.1268,9.6,47.26,64.78,2.4,75.01,healthy,1,1
2722,autumn,Sat,healthy,19.88,7.303,11.67,20.9,36.66,1.754,4.18,8.308,2.6437,5.1,58.75,90.3,1.99,85.49,healthy,1,1
2723,winter,Sun,healthy,15.14,7.365,6,10,18.28,1.828,1.27,5.87,1.4202,13.48,31.56,63.8,0.61,70.32,stressed,1,1
2724,spring,Mon,stressed,24.95,7.013,33.14,45,72.3,1.607,38.47,2.176,0.7632,43.71,16.96,23.66,18.32,44.65,critical,1,0
2725,summer,Tue,stressed,25.18,7.09,38.53,135.02,260.03,1.926,65.24,1.81,0.6988,52.74,15.53,19.68,31.06,37.85,critical,0,0
2726,autumn,Wed,healthy,17.58,7.194,15.59,37.08,67.51,1.821,9.42,6.103,1.1221,2.83,24.94,66.33,4.49,70.99,stressed,1,1
2727,winter,Thu,healthy,14.52,7.068,13.36,24.47,41.01,1.676,12.95,5.902,1.2289,2.36,27.31,64.15,6.17,70.73,stressed,1,1
2728,spring,Fri,healthy,22.28,7.132,16.8,37.14,63.24,1.703,17.51,7.189,1.8254,8.88,40.56,78.14,8.34,75.37,healthy,1,1
2729,summer,Sat,stressed,33.26,6.629,14,121.44,215.34,1.773,30.78,2.382,0.7071,37.45,15.71,25.9,14.66,47.38,critical,0,1
2730,autumn,Sun,stressed,20.97,7.46,14,45,88.36,1.964,20,3.252,0.5807,36.97,12.9,35.34,9.52,50.44,stressed,1,1
2731,winter,Mon,stressed,16.25,6.748,38.75,185.0,402.05,2.173,78.71,2.197,0.7343,56.29,16.32,23.88,37.48,36.61,critical,0,0
2732,spring,Tue,stressed,20.29,6.677,42.49,193.44,375.31,1.94,85.32,0.784,0.547,31.9,12.16,8.52,40.63,37.04,critical,0,0
2733,summer,Wed,healthy,28.75,7.252,25.02,41.5,64.06,1.544,8.2,7.356,2.781,10.98,61.8,79.95,3.9,81.72,healthy,1,1
2734,autumn,Thu,healthy,20.97,7.14,20.97,32.23,53.05,1.646,5.32,3.845,1.1413,9.45,25.36,41.8,2.53,63.79,stressed,1,1
2735,winter,Fri,healthy,13.15,7.11,13.78,19.89,34.07,1.713,13.18,7.649,1.5219,2.99,33.82,83.14,6.27,76.93,healthy,1,1
2736,spring,Sat,stressed,22.36,7.395,18.39,140.11,260.07,1.856,29.45,0.564,0.3914,43.77,8.7,6.13,14.02,39.26,critical,0,1
2737,summer,Sun,healthy,31.49,7.068,9.92,13.02,23.84,1.83,1,4.991,1.373,3.59,30.51,54.25,0.48,70.17,stressed,1,1
2738,autumn,Mon,healthy,22.41,6.872,20.04,45.73,79.19,1.731,10.97,6.084,1.8272,10.37,40.6,66.13,5.22,72.79,stressed,1,1
2739,winter,Tue,stressed,9.66,6.9,30.13,96.71,190.5,1.97,64.92,0.92,0.3232,47.92,7.18,10.0,30.91,34.59,critical,0,0
2740,spring,Wed,critical,21.33,5.589,40.52,580.48,1450.15,2.498,142.54,0.05,0.02,75.35,0.44,0.54,67.88,14.44,critical,0,0
2741,summer,Thu,healthy,33.4,7.375,8.64,45.99,72.68,1.58,8.14,6.323,1.2771,4.02,28.38,68.73,3.87,72.3,stressed,1,1
2742,autumn,Fri,healthy,23.94,7.231,21.34,36.82,60.5,1.643,10.02,7.638,2.5049,10.52,55.66,83.03,4.77,80.85,healthy,1,1
2743,winter,Sat,healthy,13.56,7.047,18.53,37.13,66.96,1.803,1.25,5.642,1.1236,8.11,24.97,61.32,0.6,69.4,stressed,1,1
2744,spring,Sun,healthy,21.05,7.11,6,25.06,46.5,1.856,8.08,8.719,2.6272,1.67,58.38,94.77,3.85,86.91,healthy,1,1
2745,summer,Mon,healthy,27.71,7.161,22.82,39.62,61.63,1.555,5.23,6.148,2.0568,5.91,45.71,66.83,2.49,76.03,healthy,1,1
2746,autumn,Tue,healthy,19.62,7.179,21.41,48.61,83.45,1.717,9.67,6.267,1.828,5.05,40.62,68.12,4.6,74.77,stressed,1,1
2747,winter,Wed,healthy,12.45,7.428,21.67,37.67,60.68,1.611,4.17,8.105,1.4109,6.7,31.35,88.1,1.99,77.69,healthy,1,1
2748,spring,Thu,critical,25.57,5.655,47.72,434.85,975.94,2.244,121.37,0.05,0.104,71.6,2.31,0.54,57.8,18.37,critical,0,0
2749,summer,Fri,healthy,27.72,7.318,19.12,41.68,66.73,1.601,7.62,7.253,2.809,8.93,62.42,78.84,3.63,82.18,healthy,1,1
2750,autumn,Sat,stressed,18.63,6.921,31.97,45,102.03,2.267,89.86,1.323,0.5962,25.57,13.25,14.38,42.79,39.82,critical,1,0
2751,winter,Sun,healthy,15.62,7.52,6,24.32,41.84,1.721,3.83,5.267,1.5151,10.65,33.67,57.25,1.83,69.61,stressed,1,1
2752,spring,Mon,stressed,23.65,7.155,39.28,115.3,222.0,1.925,53.53,1.629,0.7787,33.47,17.31,17.7,25.49,44.01,critical,0,0
2753,summer,Tue,critical,29.17,6.032,63.15,341.6,731.26,2.141,133.81,0.05,0.02,74.2,0.44,0.54,63.72,15.77,critical,0,0
2754,autumn,Wed,healthy,21.1,6.881,26.58,47.9,84.58,1.766,3.95,5.781,1.2554,6.73,27.9,62.84,1.88,70.53,stressed,1,1
2755,winter,Thu,stressed,10.95,6.829,41.61,186.06,371.67,1.998,93.77,0.753,0.2494,51.92,5.54,8.18,44.65,29.29,critical,0,0
2756,spring,Fri,healthy,19.63,7.194,20.11,32.41,53.83,1.661,8.27,5.582,1.9197,8.56,42.66,60.67,3.94,72.71,stressed,1,1
2757,summer,Sat,healthy,26.31,6.93,10.12,12.64,22.87,1.809,1,6.313,1.5418,15.26,34.26,68.61,0.48,71.79,stressed,1,1
2758,autumn,Sun,healthy,21.64,7.032,6,33.52,57.28,1.709,6.17,4.357,1.2164,12.3,27.03,47.36,2.94,64.79,stressed,1,1
2759,winter,Mon,healthy,13.42,6.999,16.45,35.65,61.25,1.718,7.09,6.803,1.2363,1,27.47,73.95,3.38,74.26,stressed,1,1
2760,spring,Tue,stressed,21.27,7.039,30.86,118.65,215.09,1.813,77.47,1.99,0.7626,22.39,16.95,21.63,36.89,44.82,critical,0,0
2761,summer,Wed,healthy,29.26,7.16,23.72,36.93,63.13,1.71,3.71,8.468,2.374,7.2,52.76,92.04,1.77,83.96,healthy,1,1
2762,autumn,Thu,healthy,20.94,6.799,22.46,18.91,34.3,1.814,8.17,5.944,1.5395,13.84,34.21,64.61,3.89,70.27,stressed,1,1
2763,winter,Fri,stressed,15.06,6.828,35.76,172.25,358.69,2.082,66.45,2.071,0.355,51.86,7.89,22.51,31.64,36.72,critical,0,0
2764,spring,Sat,healthy,23.15,7.035,9.04,29.78,44.21,1.484,6.49,6.91,2.4912,7.54,55.36,75.11,3.09,79.96,healthy,1,1
2765,summer,Sun,healthy,29.56,7.297,6,23.18,43.24,1.865,3.97,6.634,1.8712,7.63,41.58,72.11,1.89,76.04,healthy,1,1
2766,autumn,Mon,stressed,22.56,6.619,40.08,65.32,126.07,1.93,72.46,1.337,0.3669,48.73,8.15,14.54,34.51,34.86,critical,0,0
2767,winter,Tue,stressed,12.74,6.744,46.59,97.85,199.42,2.038,57.68,1.333,0.5848,22.35,13.0,14.49,27.47,44.42,critical,0,0
2768,spring,Wed,healthy,23.04,7.237,23.24,49.69,78.41,1.578,7.28,7.02,2.1604,11.79,48.01,76.3,3.47,77.26,healthy,1,1
2769,summer,Thu,healthy,22.45,7.31,24.31,40.71,62.85,1.544,3.88,5.854,1.7998,8.03,40.0,63.63,1.85,73.43,stressed,1,1
2770,autumn,Fri,healthy,19.37,7.128,18.35,34.94,58.72,1.681,8.36,6.311,1.9707,7.83,43.79,68.6,3.98,75.15,healthy,1,1
2771,winter,Sat,healthy,11.27,7.022,15.42,25.04,46.58,1.86,9.66,7.493,1.5417,7.4,34.26,81.44,4.6,75.93,healthy,1,1
2772,spring,Sun,critical,21.78,5.854,20,180,479.46,2.664,65.59,0.05,0.0796,57.21,1.77,0.54,31.23,28.47,critical,0,0
2773,summer,Mon,healthy,32.34,7.392,17.24,44.76,70.85,1.583,1,6.028,1.1428,8.09,25.4,65.52,0.48,70.59,stressed,1,1
2774,autumn,Tue,stressed,18.74,7.037,33.93,109.72,195.93,1.786,58.74,0.746,0.4046,39.3,8.99,8.1,27.97,37.46,critical,0,0
2775,winter,Wed,stressed,12.92,6.898,35.92,112.05,224.85,2.007,61.31,1.685,0.3875,50.29,8.61,18.31,29.19,36.86,critical,0,0
2776,spring,Thu,healthy,22.97,7.259,17.22,36.78,57.61,1.566,10.4,6.155,2.0641,5.29,45.87,66.91,4.95,75.63,healthy,1,1
2777,summer,Fri,stressed,31.66,6.61,28.3,148.1,300.27,2.027,20.51,1.513,0.2088,38.49,4.64,16.45,9.77,43.21,critical,0,1
2778,autumn,Sat,healthy,19.39,6.957,6.56,11.9,20.78,1.746,7.35,6.934,1.3092,1,29.09,75.37,3.5,74.99,stressed,1,1
2779,winter,Sun,stressed,12.99,6.42,31.38,45,96.83,2.152,20,4.075,0.7007,41.84,15.57,44.3,9.52,52.13,stressed,1,1
2780,spring,Mon,healthy,20.83,7.253,20.25,42.33,73.53,1.737,7.1,6.845,1.6759,9.33,37.24,74.4,3.38,74.73,stressed,1,1
2781,summer,Tue,stressed,31.79,6.36,29.57,137.23,263.1,1.917,22.93,1.997,0.2471,40.48,5.49,21.71,10.92,43.95,critical,0,1
2782,autumn,Wed,healthy,23.25,7.284,17.48,41.22,62.71,1.521,13.75,6.545,1.339,7.73,29.75,71.14,6.55,71.65,stressed,1,1
2783,winter,Thu,healthy,12.6,7.304,27.74,27.69,50.79,1.835,6.74,6.711,1.2934,11.48,28.74,72.94,3.21,71.75,stressed,1,1
2784,spring,Fri,healthy,25.04,7.175,8.46,33.74,56.14,1.664,7.51,5.357,0.952,11.36,21.16,58.23,3.58,66.11,stressed,1,1
2785,summer,Sat,stressed,33.71,6.818,21.21,69.29,138.52,1.999,21.01,3.644,0.8399,34.29,18.67,39.61,10.0,53.5,stressed,0,1
2786,autumn,Sun,stressed,21.0,6.219,14,91.4,148.39,1.623,20,2.487,0.6432,43.27,14.29,27.04,9.52,47.13,critical,0,1
2787,winter,Mon,healthy,11.62,7.336,20.14,41.78,69.42,1.661,10.33,3.847,0.6225,17.63,13.83,41.81,4.92,58.28,stressed,1,1
2788,spring,Tue,stressed,22.16,6.405,35.97,64.86,124.9,1.926,76.54,1.972,0.6124,30.68,13.61,21.44,36.45,41.98,critical,0,0
2789,summer,Wed,healthy,24.55,7.329,20.38,33.52,53.16,1.586,16.35,6.088,2.053,10.54,45.62,66.18,7.79,73.37,stressed,1,1
2790,autumn,Thu,critical,17.63,5.754,33.34,376.18,826.33,2.197,170.7,0.05,0.0639,74.92,1.42,0.54,81.28,11.44,critical,0,0
2791,winter,Fri,stressed,11.76,6.629,22.67,112.55,219.52,1.95,49.17,2.598,0.4333,25.19,9.63,28.24,23.42,47.31,critical,0,0
2792,spring,Sat,healthy,17.05,7.315,15.2,47.93,81.91,1.709,5.43,7.006,1.6946,14.11,37.66,76.15,2.58,74.28,stressed,1,1
2793,summer,Sun,stressed,30.96,7.056,14,45,96.06,2.135,20,3.499,0.4822,40.15,10.72,38.03,9.52,49.77,critical,1,1
2794,autumn,Mon,stressed,18.59,6.355,37.07,179.06,258.28,1.442,42.66,2.212,0.3162,39.86,7.03,24.05,20.31,42.73,critical,0,0
2795,winter,Tue,critical,9.92,5.744,60.15,474.8,951.77,2.005,148.19,0.05,0.0557,81.19,1.24,0.54,70.57,12.51,critical,0,0
2796,spring,Wed,healthy,18.16,7.239,25.96,36.1,62.57,1.733,6.18,7.37,1.5702,13.34,34.89,80.11,2.94,74.68,stressed,1,1
2797,summer,Thu,healthy,26.96,7.021,19.14,33.31,59.22,1.778,1,6.682,1.1466,13.75,25.48,72.63,0.48,70.97,stressed,1,1
2798,autumn,Fri,healthy,22.68,7.208,13.17,65.15,97.3,1.493,8.31,7.093,2.3222,3.46,51.6,77.1,3.96,80.32,healthy,0,1
2799,winter,Sat,critical,15.89,5.832,30.64,180,449.64,2.498,108.86,0.05,0.0363,88.81,0.81,0.54,51.84,15.18,critical,0,0
2800,spring,Sun,critical,20.68,6.205,20,180,364.21,2.023,65,0.05,0.0729,60.99,1.62,0.54,30.95,27.55,critical,0,0
2801,summer,Mon,healthy,28.17,7.047,18.99,31.69,55.07,1.738,18.19,6.592,1.6325,9.69,36.28,71.65,8.66,72.39,stressed,1,1
2802,autumn,Tue,critical,19.4,5.023,52.34,438.67,904.79,2.063,126.34,0.05,0.0442,91.19,0.98,0.54,60.16,12.54,critical,0,0
2803,winter,Wed,stressed,16.56,7.482,31.28,167.58,340.57,2.032,68.98,2.218,0.5416,42.02,12.03,24.11,32.85,40.32,critical,0,0
2804,spring,Thu,healthy,20.74,6.906,21.3,25.68,42.77,1.665,10.28,7.957,1.9894,6.73,44.21,86.49,4.89,79.77,healthy,1,1
2805,summer,Fri,healthy,28.29,7.782,17.97,38.39,66.99,1.745,2.74,7.223,2.3175,10.12,51.5,78.51,1.3,79.65,healthy,1,1
2806,autumn,Sat,healthy,18.81,7.09,11.73,26.27,45.47,1.731,1.26,7.155,2.3158,7.58,51.46,77.77,0.6,80.26,healthy,1,1
